Word,Count,Prevalence,FreqZipfUS
acetated,8,0.18,1.292
acetazolamide,13,-0.268,1.292
acetic,6,0.556,1.593
acetifier,9,-0.44,1.292
acetify,7,-0.181,1.292
acetone,7,1.549,2.246
acetonitrile,12,-0.758,1.292
acetous,7,-0.452,1.292
acetum,6,-0.498,1.292
acetyl,6,0.69,1.769
acetylation,11,0.023,1.292
acetylcholine,13,0.335,2.195
acetylene,9,0.914,2.672
acetylsalicylate,16,0.276,1.292
acetylsalicylic,15,0.42,1.991
ach,3,-0.346,2.883
achalasia,9,-0.765,1.292
ache,4,2.167,3.399
achievable,10,2.145,1.769
achieve,7,2.232,3.866
achievement,11,2.438,3.545
achiever,8,2.203,2.406
achiness,8,1.205,1.593
aching,6,2.051,3.317
achingly,8,1.423,1.769
achromatic,10,0.593,1.292
achromatically,14,0.443,1.292
achromatize,11,0.103,1.292
achromous,9,-0.322,1.292
achy,4,1.464,2.672
acicular,8,-0.793,1.292
aciculate,9,-1.11,1.292
acid,4,2.333,3.999
acidic,6,2.326,2.371
acidification,13,1.056,1.292
acidifier,9,0.872,1.292
acidify,7,1.365,1.292
acidimetric,11,-0.428,1.292
acidimetrically,15,-0.745,1.292
acidity,7,2.193,2.333
acidize,7,0.571,1.292
acidly,6,0.943,1.292
acidometer,10,0.363,1.292
acidophilic,11,0.488,1.292
acidophilus,11,0.301,1.894
acidosis,8,0.462,2.246
acidulate,9,-0.408,1.292
acidulous,9,-0.245,1.292
aciform,7,-0.769,1.292
acknowledge,11,2.576,3.789
acknowledgeable,15,1.521,1.292
acknowledged,12,2.174,3.296
acknowledgement,15,2.173,2.634
acknowledger,12,1.093,1.292
acme,4,1.047,3.105
acne,4,2.162,2.964
acolyte,7,0.946,2.195
aconite,7,-0.274,1.292
aconitum,8,-1.091,1.991
acorn,5,1.909,2.872
acoustic,8,2.182,2.991
acoustical,10,1.102,2.137
acoustically,12,2.077,1.593
acoustician,11,0.646,1.292
acoustics,9,2.305,2.654
acquaint,8,1.931,2.614
acquaintance,12,2.262,3.73
acquaintanceship,16,0.889,1.991
acquainted,10,2.322,3.657
acquiesce,9,1.024,1.894
acquiescence,12,1.177,2.07
acquiescent,11,1.247,1.593
acquiescently,13,0.883,1.292
acquiescingly,13,0.537,1.292
acquirable,10,1.857,1.292
acquire,7,2.177,3.425
acquired,8,2.305,3.652
acquirement,11,1.023,1.292
acquirer,8,1.606,1.593
acquisition,11,2.06,3.167
acquisitive,11,1.098,1.894
acquisitively,13,0.872,1.292
acquisitiveness,15,0.835,1.593
acquit,6,1.372,2.69
acquittal,9,1.634,2.872
acquitter,9,1.013,1.292
acre,4,2.245,3.265
acreage,7,0.943,2.654
acrid,5,1.19,1.769
acridity,8,0.606,1.292
acridly,7,0.729,1.292
acridness,9,0.812,1.292
acrimonious,11,1.077,2.195
acrimoniously,13,1.138,1.292
acrimoniousness,15,0.677,1.292
acrimony,8,0.974,2.371
acrobat,7,2.259,2.783
acrobatic,9,2.334,2.406
acrobatically,13,1.951,1.292
acrobatics,10,2.184,2.371
acrogenic,9,-0.328,1.292
acrogenous,10,-0.544,1.292
acrolith,8,-0.694,1.292
acrolithic,10,-0.402,1.292
acromegaly,10,-0.851,1.292
acromion,8,-0.797,1.769
acronym,7,2.016,2.496
acronymic,9,0.587,1.292
acrophobia,10,1.106,2.333
acropolis,9,1.185,2.137
acrosome,8,-0.927,1.292
across,6,2.33,4.973
acrostic,8,0.517,1.292
acrostically,12,0.242,1.292
acryl,5,-0.137,1.292
acrylamide,10,-0.065,1.292
acrylate,8,-0.08,1.292
acrylic,7,2.175,2.672
acrylonitrile,13,-0.748,1.292
act,3,2.576,5.037
actability,10,0.13,1.292
actable,7,0.378,1.292
actin,5,-0.464,3.032
acting,6,2.136,4.719
actinia,7,-0.833,1.292
actinic,7,-0.733,1.593
actinically,11,-1.027,1.292
actinium,8,-0.224,1.292
actinography,12,-0.619,1.292
action,6,2.414,4.785
actionable,10,1.366,2.438
actionably,10,0.617,1.292
activate,8,2.339,3.67
activation,10,2.434,2.935
activator,9,2.099,1.991
active,6,2.576,4.059
actively,8,2.141,2.925
activeness,10,1.508,1.292
activism,8,2.334,2.292
activist,8,2.43,2.999
activity,8,2.255,4.11
actor,5,2.427,4.42
actress,7,2.26,4.205
acts,4,2.235,4.096
actual,6,2.342,4.239
actuality,9,2.099,2.69
actualization,13,2.005,1.894
actualize,9,1.804,1.769
actually,8,2.346,5.508
actuarial,9,0.549,2.292
actuarially,11,0.203,1.593
actuary,7,1.168,2.195
actuate,7,1.247,1.593
actuation,9,0.966,1.593
actuator,8,0.873,1.769
acuity,6,0.963,2.468
aculeate,8,-0.863,1.292
acumen,6,0.863,2.195
acuminate,9,-0.416,1.292
acumination,11,-0.507,1.292
acuminous,9,-0.403,1.292
acupressure,11,1.032,2.137
acupuncture,11,2.179,2.872
acupuncturist,13,1.791,2.292
acute,5,2.328,3.471
acutely,7,2.179,2.468
acuteness,9,1.922,1.593
acyclic,7,0.291,1.292
acyclovir,9,-0.737,1.593
acyl,4,-0.86,1.292
acylation,9,-0.685,1.292
ad,2,1.744,4.134
adage,5,1.196,2.81
adagio,6,0.572,2.406
adamancy,8,0.377,1.292
adamant,7,1.702,2.999
adamantine,10,0.264,1.593
adamantly,9,1.617,1.769
adapt,5,2.576,3.422
adaptability,12,2.259,2.195
adaptable,9,2.438,2.547
adaptation,10,2.441,3.206
adapter,7,2.243,2.371
adaption,8,1.489,1.593
adaptive,8,2.119,2.371
adaptively,10,1.62,1.292
adaptor,7,2.145,1.991
add,3,2.576,4.519
addable,7,0.323,1.292
addax,5,-1.273,1.292
added,5,2.199,3.985
addend,6,0.419,1.292
addenda,7,0.288,1.769
addendum,8,1.405,2.496
adder,5,1.074,3.161
addible,7,-0.421,1.292
addict,6,2.576,3.73
addicted,8,2.576,3.657
addictedness,12,0.75,1.292
addiction,9,2.43,3.593
addictive,9,2.326,3.055
addictiveness,13,1.802,1.769
addition,8,2.315,3.89
additional,10,2.576,3.77
additionally,12,2.437,2.522
additive,8,2.229,2.371
additively,10,0.691,1.292
additivity,10,0.354,1.292
addle,5,0.623,2.246
addlebrained,12,0.691,1.292
addled,6,0.829,2.371
address,7,2.329,4.718
addressable,11,1.269,1.292
addressbook,11,0.766,1.292
addressee,9,1.503,2.137
addresser,9,1.229,1.769
addressograph,13,-0.907,1.292
addressor,9,0.985,1.292
adduce,6,-0.36,1.593
adducible,9,-0.465,1.292
adduct,6,0.1,1.292
adduction,9,0.271,1.292
adductive,9,0.046,1.292
adductor,8,0.146,1.593
adenine,7,0.051,1.769
adenitis,8,-0.596,1.292
adenocarcinoma,14,0.142,1.593
adenoid,7,0.741,2.07
adenoidal,9,0.4,1.593
adenoids,8,0.844,2.371
adenoma,7,-0.115,1.593
adenomatous,11,-0.667,1.292
adenosine,9,-0.047,2.137
adenoviral,10,-0.128,1.292
adenovirus,10,-0.024,1.292
adenylyl,8,-0.929,1.292
adept,5,1.661,2.823
adeptly,7,1.562,1.292
adeptness,9,1.391,1.593
adequacy,8,2.021,1.593
adequate,8,2.201,3.416
adequately,10,2.242,2.739
adequateness,12,0.932,1.292
adhere,6,2.166,2.769
adherence,9,1.789,2.292
adherent,8,1.929,1.894
adherently,10,1.2,1.292
adherer,7,0.965,1.292
adhesion,8,1.759,2.137
adhesive,8,2.438,2.973
adhesively,10,1.436,1.292
adhesiveness,12,1.764,1.292
adiabatic,9,-0.809,1.593
adiabatically,13,-0.747,1.292
adiaphorous,11,-0.56,1.292
adieu,5,1.313,3.27
adieux,6,0.277,1.292
adipocerous,11,-0.718,1.292
adipose,7,0.321,1.991
adiposity,9,-0.106,1.593
adjacency,9,1.041,1.292
adjacent,8,2.424,3.131
adjacently,10,1.326,1.292
adjectival,10,0.309,1.292
adjectivally,12,0.373,1.292
adjective,9,2.576,2.707
adjectively,11,0.957,1.292
adjoin,6,1.436,1.292
adjoined,8,1.635,1.593
adjoining,9,1.977,3.055
adjourn,7,1.643,3.118
adjournment,11,1.633,2.371
adjudge,7,0.095,1.593
adjudicate,10,1.516,2.07
adjudication,12,1.397,2.292
adjudicative,12,0.883,1.292
adjudicator,11,1.4,1.991
adjunct,7,1.375,2.195
adjunction,10,0.974,1.292
adjunctive,10,1.046,1.292
adjunctively,12,0.987,1.292
adjuration,10,0.323,1.292
adjuratory,10,-0.131,1.292
adjure,6,0.658,1.593
adjurer,7,0.209,1.292
adjust,6,2.166,3.751
adjustability,13,2.005,1.593
adjustable,10,2.576,2.522
adjustably,10,0.934,1.292
adjuster,8,1.77,2.614
adjustment,10,2.344,3.493
adjustor,8,1.473,1.991
adjutancy,9,-0.134,1.292
adjutant,8,0.223,2.955
adjuvant,8,0.068,1.593
adman,5,-0.072,1.292
admeasure,9,-0.426,1.292
admin,5,1.373,2.654
administer,10,2.066,3.226
administrable,13,1.055,1.292
administrant,12,0.543,1.292
administrate,12,1.78,1.769
administration,14,2.445,3.881
administrational,16,0.937,1.292
administrative,14,2.344,3.211
administratively,16,1.851,1.292
administrator,13,2.102,3.221
admirable,9,2.576,3.419
admirableness,13,0.401,1.292
admirably,9,2.322,2.634
admiral,7,2.576,4.219
admiralship,11,0.836,1.292
admiralty,9,0.986,2.836
admiration,10,2.437,3.325
admire,6,2.345,4.151
admired,7,2.576,3.566
admirer,7,2.317,3.474
admiring,8,2.032,3.444
admiringly,10,1.866,1.292
admissibility,13,1.355,1.991
admissible,10,1.87,2.872
admissibleness,14,0.253,1.292
admissibly,10,1.346,1.292
admission,9,2.44,3.552
admissive,9,1.465,1.292
admit,5,2.32,4.772
admittance,10,2.245,2.836
admitted,8,2.24,3.962
admittedly,10,2.088,2.973
admitter,8,1.068,1.292
admix,5,-0.675,1.292
admixture,9,-0.154,1.593
admonish,8,1.287,1.991
admonisher,10,1.15,1.292
admonishingly,13,1.052,1.292
admonishment,12,1.331,1.292
admonition,10,1.234,2.07
admonitory,10,0.173,1.292
adnexa,6,-1.369,1.593
adnexal,7,-1.183,1.769
adnominal,9,-0.086,1.292
adnoun,6,-0.755,1.292
ado,3,0.965,3.184
adobe,5,1.863,2.69
adolescence,11,2.128,2.945
adolescent,10,2.021,3.27
adolescently,12,0.864,1.292
adopt,5,2.424,3.67
adoptability,12,1.51,1.292
adoptable,9,2.177,1.593
adopted,7,2.576,3.926
adoptee,7,1.842,1.292
adopter,7,1.58,1.593
adoption,8,2.576,3.672
adoptive,8,2.33,2.783
adoptively,10,1.047,1.292
adorability,11,1.017,1.593
adorable,8,2.218,4.023
adorableness,12,1.19,1.593
adorably,8,2.047,1.769
adoration,9,2.213,2.783
adore,5,2.334,3.888
adorer,6,1.198,1.292
adoring,7,2.228,2.848
adoringly,9,2.001,1.894
adorn,5,1.727,2.246
adorner,7,1.16,1.292
adornment,9,1.89,1.991
adown,5,-1.05,1.292
adrenal,7,1.324,2.522
adrenalin,9,1.393,2.754
adrenaline,10,2.241,3.52
adrenergic,10,-0.629,1.292
adrenocortical,14,0.117,1.292
adrenocorticotropic,19,-0.304,1.292
adrift,6,1.906,3.008
adroit,6,0.475,2.137
adroitly,8,0.439,1.894
adroitness,10,0.518,1.593
adscript,8,-0.015,1.292
adscription,11,-0.68,1.292
adsorb,6,-0.066,1.292
adsorbent,9,0.04,1.292
adsorption,10,0,1.292
adsorptive,10,-0.419,1.292
adularia,8,-1.206,1.292
adulate,7,0.692,1.292
adulation,9,1.152,2.468
adulator,8,0.474,1.292
adulatory,9,0.659,1.292
adult,5,2.576,4.155
adulterant,10,0.537,1.593
adulterate,10,1.402,1.593
adulteration,12,1.606,1.292
adulterator,11,0.61,1.292
adulterer,9,1.942,2.614
adulteress,10,1.789,2.438
adulterine,10,-0.607,1.292
adulterous,10,2.256,2.547
adulterously,12,1.432,1.292
adultery,8,2.301,3.292
adulthood,9,2.332,2.872
adultlike,9,1.128,1.292
adultness,9,0.628,1.292
adumbral,8,-0.95,1.292
adumbrate,9,-0.839,1.292
adumbration,11,-0.97,1.292
adumbrative,11,-1.055,1.292
adumbratively,13,-1.132,1.292
advance,7,2.426,4.204
advanced,8,2.335,3.947
advancement,11,2.338,3.098
advancer,8,1.161,1.292
advancing,9,2.244,3.178
advantage,9,2.423,4.343
advantageous,12,1.974,2.614
advantageously,14,1.679,1.292
advantageousness,16,0.909,1.292
advection,9,-0.63,1.292
advent,6,2.33,2.69
adventitia,10,-1.014,1.292
adventitious,12,-0.133,1.292
adventitiously,14,-0.096,1.292
adventitiousness,16,-0.415,1.292
adventure,9,2.423,4.128
adventurer,10,2.092,2.872
adventuresome,13,1.373,1.894
adventuress,11,0.793,2.371
adventurism,11,1.046,1.292
adventurist,11,1.243,1.593
adventurous,11,2.44,3.091
adventurously,13,1.682,1.292
adventurousness,15,1.203,1.593
adverb,6,2.436,2.333
adverbial,9,0.884,1.894
adverbially,11,0.293,1.292
adversarial,11,1.597,2.406
adversary,9,2.136,3.184
adversative,11,0.199,1.292
adversatively,13,0.011,1.292
adverse,7,2.344,2.86
adversely,9,2.069,2.371
adverseness,11,1.076,1.292
adversity,9,2.1,3.032
advert,6,1.691,2.438
advertence,10,-0.145,1.292
advertency,10,0.075,1.292
advertent,9,0.452,1.292
advertently,11,1.139,1.593
advertise,9,2.292,3.221
advertisement,13,2.319,3.084
advertiser,10,2.183,2.246
advertising,11,2.261,3.872
advertize,9,0.978,1.292
advertorial,11,0.091,1.292
advice,6,2.576,4.681
advisability,12,1.693,1.292
advisable,9,2.254,2.905
advisableness,13,0.046,1.292
advisably,9,1.433,1.292
advise,6,2.252,4.086
advised,7,2.261,3.72
advisedly,9,1.114,2.07
advisedness,11,0.112,1.292
advisee,7,0.907,2.438
advisement,10,1.279,2.894
adviser,7,1.748,3.024
advisor,7,2.327,3.646
advisory,8,2.431,3.008
advocacy,8,2.26,2.496
advocate,8,2.433,3.349
advocator,9,1.407,1.292
advocatory,10,0.758,1.292
adyta,5,-1.985,1.292
adytum,6,-1.335,1.292
adz,3,-0.795,1.292
adze,4,-0.435,1.292
adzuki,6,-0.878,1.292
aecidium,8,-1.008,1.292
aegis,5,0.397,2.07
aeon,4,0.585,2.707
aerate,6,1.001,1.593
aeration,8,1.04,1.593
aerator,7,0.932,1.292
aerial,6,2.117,3.406
aerialist,9,1.152,1.593
aerially,8,1.208,1.292
aerie,5,0.599,1.593
aero,4,1.457,2.07
aerobatic,9,1.411,1.292
aerobatics,10,1.408,1.593
aerobe,6,0.138,1.292
aerobic,7,2.117,2.292
aerobically,11,1.406,1.769
aerobics,8,2.125,3.195
aerobiological,14,0.683,1.292
aerobiology,11,0.659,1.292
aerodonetics,12,-0.669,1.292
aerodrome,9,0.712,1.292
aerodynamic,11,2,2.654
aerodynamicist,14,0.879,1.292
aerodynamics,12,1.947,2.522
aerodyne,8,0.195,1.894
aeroembolism,12,-0.037,1.292
aerofoil,8,0.426,1.292
aerogram,8,0.381,1.292
aerogramme,10,-0.156,1.292
aerograph,9,0.554,1.292
aerographer,11,0.514,1.292
aerographic,11,0.746,1.292
aerologic,9,0.136,1.292
aerologist,10,0.524,1.292
